publish_date,Link,news_language
2023-11-08 00:00:00+00:00,https://factly.in/this-photo-does-not-show-an-old-image-of-tamil-nadu-minister-e-v-velu-pulling-the-rickshaw-of-late-karunanidhi/,en
2023-11-08 00:00:00+00:00,https://dpa-factchecking.com/netherlands/231107-99-857741,nl
2023-11-08 00:00:00+00:00,https://dpa-factchecking.com/germany/231108-99-871836,de
2023-11-08 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-2013-video-from-syria-shared-as-hamas-attacking-israeli-tanks,en
2023-11-08 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/misleading-no-pepsi-can-packaging-not-changed-to-avoid-boycott-calls-amid-israel-hamas-conflict,en
2023-11-08 00:00:00+00:00,https://dpa-factchecking.com/belgium/231107-99-859013,fr
2023-11-08 00:00:00+00:00,https://en.youturn.in/factcheck/ai-generated-image-claims-palestinians-have-meals-on-their-house-rubble.html,en
2023-11-08 00:00:00+00:00,https://dpa-factchecking.com/switzerland/231106-99-838978,fr
2023-11-08 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/misleading-old-photograph-of-actor-gal-gadot-joining-idf-resurfaces-amid-israel-gaza-conflict,en
2023-11-07 00:00:00+00:00,https://falso.ly/2023/11/07/hamas-buy-food-from-kfc/,ar
2023-11-08 00:00:00+00:00,https://factnameh.com/fa/fact-checks/2023-11-08-shah-bahrain-independence,fa
2023-11-08 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-photo-of-prisoners-in-austrian-nazi-concentration-camp-falsely-linked-to-palestine,en
2023-11-07 00:00:00+00:00,https://factnameh.com/fa/fact-checks/2023-11-07-false-claim-iranian--american-iq,fa
2023-10-31 00:00:00+00:00,https://www.thip.media/health-news-fact-check/fact-check-does-the-use-of-toothpaste-increase-the-risk-of-cancer/54208/,en
2023-11-02 00:00:00+00:00,https://www.thip.media/health-news-fact-check/fact-check-has-mathew-perry-died-of-covid-vaccine/54302/,en
2023-11-02 00:00:00+00:00,https://www.thip.media/health-news-fact-check/fact-check-does-durian-increase-libido/53243/,es
2023-11-08 00:00:00+00:00,https://en.youturn.in/factcheck/did-karnataka-high-court-declare-tipu-sultan-a-jihadi.html,en
2023-11-07 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-unrelated-video-shared-as-palestinians-faking-deaths-amid-israel-hamas-war,en
2023-11-07 00:00:00+00:00,https://www.univision.com/noticias/video-palestinos-simulan-atentado-culpar-israel-falso,es
2023-11-07 00:00:00+00:00,https://www.univision.com/noticias/juez-caso-trump-fraude-no-queria-oir-testimonio-falta-contexto,es
2023-11-07 00:00:00+00:00,https://www.fastcheck.cl/2023/11/07/video-el-gobierno-va-por-el-a-favor-enganoso/,es
2023-11-07 00:00:00+00:00,https://www.malayalam.factcrescendo.com/video-of-security-action-from-azerbaijan-passing-off-as-israel-minister-arrested/,ml
2023-11-07 00:00:00+00:00,https://factly.in/an-old-video-of-a-demonstration-held-in-london-is-being-shared-as-a-video-of-girls-being-auctioned-in-afghanistan/,en
2023-11-07 00:00:00+00:00,https://factly.in/there-is-no-evidence-that-the-congress-party-has-adopted-the-symbol-of-islam-as-its-election-symbol/,en
2023-11-07 00:00:00+00:00,https://factly.in/telugu-an-old-video-is-being-shared-as-israels-recent-questioning-of-the-un-about-jews-in-other-countries/,te
2023-11-07 00:00:00+00:00,https://factly.in/uae-did-not-announce-any-military-aid-to-israel-amid-the-ongoing-war-with-palestine/,en
2023-11-07 00:00:00+00:00,https://factly.in/telugu-no-national-education-policy-2020-did-not-do-away-with-the-board-exams-for-10th-class/,te
2023-11-07 00:00:00+00:00,https://dpa-factchecking.com/netherlands/231106-99-840071/,nl
2023-11-07 00:00:00+00:00,https://dpa-factchecking.com/switzerland/231106-99-842947,fr
2023-11-07 00:00:00+00:00,https://en.youturn.in/factcheck/misleading-claims-shared-about-paris-police-shooting-hijab-clad-woman.html,en
2023-11-07 00:00:00+00:00,https://dpa-factchecking.com/netherlands/231107-99-852029,nl
2023-11-06 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-photo-from-syria-shared-as-israeli-army-attacking-gaza-with-white-phosphorous,en
2023-10-30 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-2017-video-misrepresented-as-recent-attack-by-houthis-on-u-s-navy-destroyer,en
2023-10-30 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-images-of-explosions-from-different-locations-passed-off-as-recent-u-s-airstrikes-in-syria,en
2023-10-27 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-video-of-fans-throwing-soft-toys-in-a-football-stadium-shared-as-people-supporting-palestine,en
2023-10-25 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/fake-the-image-showing-people-cheering-for-the-israeli-army-is-ai-generated,en
2023-10-25 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-video-of-sudanese-army-bombing-fuel-tanker-falsely-claimed-to-be-from-gaza,en
2023-11-07 00:00:00+00:00,https://www.gezondheidenwetenschap.be/gezondheid-in-de-media/factcheck-beschermt-dankbaarheid-tegen-hartaanvallen,nl
2023-11-07 00:00:00+00:00,https://en.youturn.in/factcheck/viral-video-of-palestinians-faking-death-is-not-from-palestine.html,en
2023-11-07 00:00:00+00:00,https://en.youturn.in/factcheck/actress-rashmika-mandanna-falls-victim-to-the-deepfake-technology.html,en
2023-11-07 00:00:00+00:00,https://verafiles.org/articles/vera-files-fact-check-no-czech-commitment-to-defend-ph-vs-china,en
2023-11-06 00:00:00+00:00,https://factnameh.com/fa/fact-checks/2023-11-06-tshirt-israeli-soldiers,fa
2023-11-06 00:00:00+00:00,https://factnameh.com/fa/fact-checks/2023-11-06-idf-october-7-attack,fa
2023-11-06 00:00:00+00:00,https://tahaqaq.ps/10134/,en
2023-11-07 00:00:00+00:00,https://en.youturn.in/factcheck/false-claims-about-a-bengaluru-woman-being-on-drugs.html,en
2023-11-06 00:00:00+00:00,https://tahaqaq.ps/10144/,ar
2023-11-07 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-video-from-al-qaeda-camp-falsely-linked-to-israel-hamas-conflict,en
2023-11-06 00:00:00+00:00,https://factly.in/visuals-of-destruction-caused-by-an-earthquake-in-turkey-falsely-linked-to-the-israel-palestine-conflict/,en
2023-11-06 00:00:00+00:00,https://factly.in/visuals-of-russian-and-ukrainian-troops-are-shared-as-war-scenes-from-israel-and-palestine/,en
2023-11-02 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-2021-video-shared-as-israeli-forces-arresting-journalist-for-filming-evidence-of-war-crimes,en
2023-11-02 00:00:00+00:00,https://www.univision.com/noticias/policia-israeli-estrangula-nino-palestino-jerusalen-falso,es
2023-11-06 00:00:00+00:00,https://youturn.in/factcheck/malaysia-janaza-course-video-shared-as-gaza.html,ta
2023-11-06 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-video-game-footage-shared-as-israeli-tank-destroyed-by-hamas,en
2023-11-06 00:00:00+00:00,https://en.youturn.in/factcheck/altered-audio-of-former-cm-kamalnath-meeting-minority-muslims-circulated-with-false-narratives.html,en
2023-11-05 00:00:00+00:00,https://falso.ly/2023/11/05/demonstrations-in-support-of-palestine-in-france/,en
2023-11-03 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-video-from-syria-shared-as-israel-bombing-a-hospital-in-gaza,en
2023-11-06 00:00:00+00:00,https://verafiles.org/articles/vera-files-fact-check-marcos-did-not-remove-romualdez-as-speaker,en
2023-11-03 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-video-of-al-quds-brigades-tunnel-falsely-linked-to-hamas-amid-conflict,en
2023-11-03 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-old-unrelated-video-falsely-linked-to-the-israel-hamas-war,en
2023-11-03 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/misleading-old-video-of-israeli-forces-attacking-a-disabled-man-resurfaces-as-recent,en
2023-11-03 00:00:00+00:00,https://thailand.factcrescendo.com/english/10-year-old-dead-body-representation-protest-footage-viral-as-scenes-from-current-israel-hamas-war/,en
2023-10-27 00:00:00+00:00,https://www.factchecklab.org/20231027/,ko
2023-11-01 00:00:00+00:00,https://www.factchecklab.org/20231101/,ko
2023-11-05 00:00:00+00:00,https://falso.ly/2023/11/05/al-zaytouna-ambush/,ar
2023-11-05 00:00:00+00:00,https://almushahid.net/118395/,ar
2023-11-04 00:00:00+00:00,https://factnameh.com/fa/fact-checks/2023-11-04-iran-balance-of-trade,fa
2023-11-04 00:00:00+00:00,https://www.boatos.org/religiao/louvor-lucifer-lucifer-flamejante-filmado-vaticano.html,pt
2023-10-25 00:00:00+00:00,https://falso.ly/2023/10/25/mel-gipsons-statement-about-the-near-end-of-isreal/,ar
2023-10-18 00:00:00+00:00,https://falso.ly/2023/10/18/qatars-natural-gas-supplies/,ar
2023-11-04 00:00:00+00:00,https://www.herjoo.co.za/googles-small-business-label-gives-game-changing-boost-to-small-businesses/,nl
2023-11-04 00:00:00+00:00,https://en.youturn.in/factcheck/no-this-video-does-not-show-people-in-pakistan-torturing-a-hindu-woman.html,en
2023-11-03 00:00:00+00:00,https://tahaqaq.ps/10083/,en
2023-11-03 00:00:00+00:00,https://tahaqaq.ps/10096/,ar
2023-11-03 00:00:00+00:00,https://factnameh.com/fa/fact-checks/2023-11-03-israel-palestine-animated-map,fa
2023-11-04 00:00:00+00:00,https://en.youturn.in/factcheck/ai-images-of-ayodhya-and-banaras-railway-stations-take-the-internet-by-storm.html,tl
2023-11-03 00:00:00+00:00,https://www.fastcheck.cl/2023/11/03/embajada-de-israel-invita-a-proyeccion-privada-de-imagenes-de-la-masacre-ejecutada-por-hamas-real/,es
2023-11-03 00:00:00+00:00,https://www.boatos.org/entretenimento/elton-john-lancou-nova-musica-com-letra-voce-ja-percebeu-o-quanto-o-ser-humano-e-estranho.html,pt
2023-11-03 00:00:00+00:00,https://www.boatos.org/tecnologia/governo-lancou-programa-ceia-para-todos-descontos-90-ceia-de-natal.html,pt
2023-11-03 00:00:00+00:00,https://dpa-factchecking.com/belgium/231102-99-801304/,fr
2023-11-03 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-yemen-has-not-officially-declared-war-on-israel,en
2023-11-03 00:00:00+00:00,https://thedispatch.com/article/birds-of-war-did-china-deploy-ducks-to-pakistan/,en
2023-11-03 00:00:00+00:00,https://dpa-factchecking.com/belgium/231103-99-808895,fr
2023-11-03 00:00:00+00:00,https://factly.in/unrelated-old-video-from-mexico-shared-as-recent-footage-of-pro-hamas-demonstrators-setting-a-police-officer-ablaze-in-the-united-kingdom/,en
2023-11-03 00:00:00+00:00,https://factly.in/an-old-2018-video-featuring-edited-audio-of-the-congress-leader-kamal-nath-is-shared-with-false-claims/,en
2023-11-03 00:00:00+00:00,https://factly.in/2017-video-of-idf-soldiers-dragging-an-8-year-old-palestinian-boy-in-hebron-to-identify-stone-pelters-shared-as-a-recent-one/,en
2023-11-03 00:00:00+00:00,https://factly.in/an-old-video-is-being-shared-as-israels-recent-questioning-of-the-un-about-jews-in-other-countries/,en
2023-11-03 00:00:00+00:00,https://dpa-factchecking.com/switzerland/231102-99-798975,fr
2023-11-03 00:00:00+00:00,https://pa.media/blogs/fact-check/video-shows-2016-attack-on-syrian-hospital/,en
2023-11-02 00:00:00+00:00,https://factnameh.com/fa/fact-checks/2023-11-02-aliya-bet-israel-palestine,fa
2023-11-02 00:00:00+00:00,https://factnameh.com/fa/fact-checks/2023-11-02-israel-chinese-maps,fa
2023-11-02 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/misleading-video-of-people-assaulting-security-guard-in-israel-viral-with-false-claims,en
2023-11-02 00:00:00+00:00,https://factly.in/2021-video-of-a-police-aspirant-caught-cheating-while-appearing-for-the-up-sub-inspector-examination-shared-as-a-recent-one/,en
2023-11-02 00:00:00+00:00,https://factly.in/old-unrelated-videos-are-being-falsely-linked-to-the-israel-palestine-conflict/,en
2023-11-02 00:00:00+00:00,https://factly.in/this-image-of-footballer-lionel-messi-depicting-him-as-holding-the-israeli-flag-is-edited/,en
2023-11-02 00:00:00+00:00,https://www.fastcheck.cl/2023/11/02/imagen-lionel-messi-dijo-no-votaria-a-los-personajes-que-venimos-viendo-desde-siempre-falso/,es
2023-11-02 00:00:00+00:00,https://www.boatos.org/esporte/neymar-disse-para-lula-cachaca-nao-faz-um-bom-presidente.html,pt
2023-11-02 00:00:00+00:00,https://www.boatos.org/entretenimento/gal-gadot-alistou-exercito-de-israel-lutar-guerra-contra-hamas.html,pt
2023-11-02 00:00:00+00:00,https://dpa-factchecking.com/germany/231102-99-795763/,de
2023-11-02 00:00:00+00:00,https://www.fastcheck.cl/2023/11/02/video-el-consul-general-de-israel-fue-a-harvard-a-dar-un-discurso-el-estudiantado-se-paro-y-lo-dejo-solo-en-el-aula-anejo/,es
2023-11-02 00:00:00+00:00,https://www.fastcheck.cl/2023/11/02/articulo-16-de-la-nueva-constitucion-si-fuiste-juzgado-por-violacion-te-sentencian-cumples-condena-y-sales-libre-podras-volver-a-violar-a-alguien-y-no-iras-a-la-carcel-falso/,es
2023-11-02 00:00:00+00:00,https://dpa-factchecking.com/netherlands/231102-99-796179/,nl
2023-11-02 00:00:00+00:00,https://dpa-factchecking.com/germany/231102-99-798692/,de
2023-11-02 00:00:00+00:00,https://dpa-factchecking.com/netherlands/231102-99-793428,nl
2023-11-02 00:00:00+00:00,https://en.youturn.in/factcheck/did-the-russia-today-journalist-visit-the-hamas-tunnel-network-now-to-report-from-the-war-ground.html,en
2023-11-01 00:00:00+00:00,https://www.malayalam.factcrescendo.com/old-video-of-protest-in-egypt-shared-as-hamas-faking-deaths-of-their-army/,ml
2023-11-02 12:20:11+00:00,https://www.washingtonpost.com/politics/2023/11/02/pro-haley-group-falsely-claims-desantis-wanted-fast-track-china-deals/,en
2023-11-01 13:42:14+00:00,https://www.washingtonpost.com/politics/2023/11/01/bidens-dismissal-reported-palestinian-death-toll/,en
2023-11-02 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-no-this-is-not-the-suspect-in-the-lewiston-mass-shooting,en
2023-11-02 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-video-of-model-bella-hadid-declaring-her-support-for-israel-is-a-deepfake,en
2023-11-02 00:00:00+00:00,https://dpa-factchecking.com/germany/231031-99-771119,de
2023-11-02 00:00:00+00:00,https://dpa-factchecking.com/netherlands/231031-99-773032,nl
2023-11-02 00:00:00+00:00,https://dpa-factchecking.com/belgium/231030-99-761579/,fr
2023-11-02 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-video-doesn-t-show-pro-palestine-protesters-in-turkey-injured-by-fireworks,en
2023-11-02 00:00:00+00:00,https://www.logicallyfacts.com/en/fact-check/false-video-of-football-fans-in-brazil-passed-off-as-pro-palestine-protest-in-france,en
2023-11-02 00:00:00+00:00,https://dpa-factchecking.com/netherlands/231027-99-723546,nl
2023-11-01 00:00:00+00:00,https://en.youturn.in/factcheck/video-of-israeli-police-beating-christians-in-jerusalem.html,en
2023-11-02 00:00:00+00:00,https://tahaqaq.ps/10076/,ar
2023-11-01 00:00:00+00:00,https://www.univision.com/noticias/video-air-force-one-escoltado-israel-falso,es
2023-11-01 00:00:00+00:00,https://tahaqaq.ps/10068/,ar
2023-11-01 00:00:00+00:00,https://tahaqaq.ps/10072/,ar
2023-11-01 00:00:00+00:00,https://www.boatos.org/mundo/palestinos-fingiram-mortos-incriminar-israel-video.html,pt
2023-10-30 00:00:00+00:00,https://annir.ly/fact-checks/this-video-is-not-for-gaza-being-bombed-its-for-algerians-celebrating-soccer-team-winning/,ar
2023-10-31 00:00:00+00:00,https://www.fastcheck.cl/2023/10/31/hace-68-anos-y-225-dias-que-chile-no-ganaba-una-medalla-en-el-lanzamiento-del-disco-en-juegos-panamericanos-real/,es
2023-10-15 00:00:00+00:00,https://annir.ly/fact-checks/this-photo-is-not-related-to-sea-temperature-of-libya/,ar
2023-11-01 00:00:00+00:00,https://factly.in/morphed-pictures-shared-as-the-visuals-of-rashid-khan-waving-the-indian-flag-after-afghanistan-defeated-pakistan-in-cwc-2023/,en
2023-11-01 00:00:00+00:00,https://factly.in/an-old-video-from-libya-is-falsely-shared-as-a-recent-hamas-attack/,en
2023-11-01 00:00:00+00:00,https://factly.in/video-of-brazilian-football-fans-march-is-falsely-shared-as-demonstrations-in-france-in-support-of-palestine/,en
2023-11-01 00:00:00+00:00,https://factly.in/adyar-ananda-bhavan-remains-under-the-ownership-of-the-founders-descendants/,en
2023-11-01 00:00:00+00:00,https://factly.in/videos-of-two-different-individuals-shared-as-the-footage-of-a-palestinian-blogger-recovered-from-an-israeli-bomb-attack-in-a-day/,en
